name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
T Stubbs,85b3fab2,T Stubbs,T Stubbs,595978.0,
A Tomar,aa5d8c9e,A Tomar,A Tomar,1081183.0,
CV Varun,5b7ab5a9,CV Varun,CV Varun,1108375.0,
K Gowtham,90de905a,K Gowtham,K Gowtham,424377.0,
RK Singh,0a509d6b,RK Singh,RK Singh,723105.0,
VR Iyer,a24be938,VR Iyer,VR Iyer,851403.0,
DP Conway,df5a6881,DP Conway,DP Conway,379140.0,
M Pathirana,64839cb3,M Pathirana,M Pathirana,1194795.0,
MJ Santner,e4a0deae,MJ Santner,MJ Santner,502714.0,
MM Ali,bb351c23,MM Ali,MM Ali,8917.0,
Mukesh Choudhary,765a4731,Mukesh Choudhary,Mukesh Choudhary,1125688.0,
N Jagadeesan,bd54eef5,N Jagadeesan,N Jagadeesan,1048813.0,
PH Solanki,c695b423,PH Solanki,PH Solanki,1252337.0,
RD Gaikwad,45a43fe2,RD Gaikwad,RD Gaikwad,1060380.0,
Simarjeet Singh,30df8c66,Simarjeet Singh,Simarjeet Singh,1159722.0,
A Nortje,acdc62f5,A Nortje,A Nortje,481979.0,
D Brevis,844e79d1,D Brevis,D Brevis,1070665.0,
DR Sams,caf69bf7,DR Sams,DR Sams,826901.0,
GR Sadashiv Iyer,0be62e31,GR Sadashiv Iyer,GR Sadashiv Iyer,29549.0,340287.0
HAS Khalid,291ded7c,HAS Khalid,HAS Khalid,30196.0,
HR Shokeen,0c9652b0,HR Shokeen,HR Shokeen,1175423.0,
KK Ahmed,a2f46292,KK Ahmed,KK Ahmed,942645.0,
M Markande,a9fd84fb,M Markande,M Markande,1081442.0,
PP Shaw,8b3e9c7c,PP Shaw,PP Shaw,1070168.0,
R Powell,650d5e49,R Powell,R Powell,820351.0,
RP Meredith,64775749,RP Meredith,RP Meredith,961713.0,
Ramandeep Singh,be24ead0,Ramandeep Singh,Ramandeep Singh,1079470.0,
TH David,f1f99156,TH David,TH David,892749.0,
Tilak Varma,b0482a1d,Tilak Varma,Tilak Varma,1170265.0,
AK Markram,6a26221c,AK Markram,AK Markram,600498.0,
Abhishek Sharma,f29185a1,Abhishek Sharma,Abhishek Sharma,1070183.0,1131614.0
Arshdeep Singh,244048f6,Arshdeep Singh,Arshdeep Singh,1125976.0,
Fazalhaq Farooqi,e9c7f0d0,Fazalhaq Farooqi,Fazalhaq Farooqi,974175.0,
Harpreet Brar,c05edf8e,Harpreet Brar,Harpreet Brar,1168641.0,
JM Bairstow,abb83e27,JM Bairstow,JM Bairstow,297433.0,
JM Sharma,800d2d97,JM Sharma,JM Sharma,721867.0,
K Rabada,e62dd25d,K Rabada,K Rabada,550215.0,
LS Livingstone,50c6bc2b,LS Livingstone,LS Livingstone,403902.0,
M Shahrukh Khan,7dcb9bc9,M Shahrukh Khan,M Shahrukh Khan,719719.0,
N Pooran,3241e3fd,N Pooran,N Pooran,604302.0,
NT Ellis,9eb1455b,NT Ellis,NT Ellis,826915.0,
PK Garg,bb965e9a,PK Garg,PK Garg,1070180.0,
