name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2,batting_style,bowling_style
HE van der Dussen,9.95E+265,HE van der Dussen,HE van der Dussen,337790,,Right hand Bat,Legbreak
KL Nagarkoti,b4f5c2d9,KL Nagarkoti,KL Nagarkoti,1070188,,Right hand Bat,Right arm Fast
KR Sen,2e78f685,KR Sen,KR Sen,1163695,,Right hand Bat,Right arm Fast
KS Bharat,44a89551,KS Bharat,KS Bharat,529436,,Right hand Bat,
A Totre,b1d7d7bc,A Totre,A Totre,961323,,,
Chirra Ravikanthreddy,8b680f55,Chirra Ravikanthreddy,Chirra Ravikanthreddy,391442,,,
K Kartikeya,f6d8a7ab,K Kartikeya,K Kartikeya,1159843,,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin"
M Theekshana,f24c6701,M Theekshana,M Theekshana,1138316,,Right hand Bat,Right arm Offbreak
Shakti Singh,eb90d319,Shakti Singh,Shakti Singh,33922,,Right hand Bat,Right arm Medium
Vinod Seshan,a3357a27,Vinod Seshan,Vinod Seshan,723245,,,
M Jansen,81c36ee9,M Jansen,M Jansen,696401,,Right hand Bat,Left arm Medium fast
MV Saidharshan Kumar,54b6007b,MV Saidharshan Kumar,MV Saidharshan Kumar,777551,,,
Shashank Singh,26989d80,Shashank Singh,Shashank Singh,377534,,Right hand Bat,"Right arm Medium, Right arm Offbreak"
V Narayan Kutty,4bacee3d,V Narayan Kutty,V Narayan Kutty,31899,,Right hand Bat,
S Dube,a4e37e47,S Dube,S Dube,714451,,Left hand Bat,Right arm Medium
A Badoni,872b03f7,A Badoni,A Badoni,1151270,,Right hand Bat,Right arm Offbreak
Lalit Yadav,ad427b5c,Lalit Yadav,Lalit Yadav,930189,,Right hand Bat,Right arm Offbreak
PBB Rajapaksa,6c882e9a,PBB Rajapaksa,PBB Rajapaksa,342619,,Left hand Bat,Right arm Medium
Prakash Bhatt,f848ab0b,Prakash Bhatt,Prakash Bhatt,26923,,Right hand Bat,
RD Chahar,2ed569a0,RD Chahar,RD Chahar,1064812,,Right hand Bat,Legbreak Googly
N Pandit,4947c258,N Pandit,N Pandit,391525,,,
R Sanjay Yadav,33ffc3dd,R Sanjay Yadav,R Sanjay Yadav,1048841,,Left hand Bat,Slow Left arm Orthodox
T Natarajan,ce794613,T Natarajan,T Natarajan,802575,,Left hand Bat,Left arm Medium
T Stubbs,85b3fab2,T Stubbs,T Stubbs,595978,,Right hand Bat,Right arm Offbreak
A Tomar,aa5d8c9e,A Tomar,A Tomar,1081183,,Right hand Bat,Right arm Offbreak
CV Varun,5b7ab5a9,CV Varun,CV Varun,1108375,,Right hand Bat,Legbreak Googly
K Gowtham,90de905a,K Gowtham,K Gowtham,424377,,Right hand Bat,Right arm Offbreak
RK Singh,0a509d6b,RK Singh,RK Singh,723105,,Left hand Bat,Right arm Offbreak
VR Iyer,a24be938,VR Iyer,VR Iyer,851403,,Left hand Bat,Right arm Medium
DP Conway,df5a6881,DP Conway,DP Conway,379140,,Left hand Bat,Right arm Medium
M Pathirana,64839cb3,M Pathirana,M Pathirana,1194795,,Right hand Bat,Right arm Medium
MJ Santner,e4a0deae,MJ Santner,MJ Santner,502714,,Left hand Bat,Slow Left arm Orthodox
MM Ali,bb351c23,MM Ali,MM Ali,8917,,Left hand Bat,Right arm Offbreak
Mukesh Choudhary,765a4731,Mukesh Choudhary,Mukesh Choudhary,1125688,,Left hand Bat,Left arm Medium
N Jagadeesan,bd54eef5,N Jagadeesan,N Jagadeesan,1048813,,Right hand Bat,
PH Solanki,c695b423,PH Solanki,PH Solanki,1252337,,Right hand Bat,Legbreak
RD Gaikwad,45a43fe2,RD Gaikwad,RD Gaikwad,1060380,,Right hand Bat,Right arm Offbreak
Simarjeet Singh,30df8c66,Simarjeet Singh,Simarjeet Singh,1159722,,Right hand Bat,Right arm Medium fast
A Nortje,acdc62f5,A Nortje,A Nortje,481979,,Right hand Bat,Right arm Fast
D Brevis,844e79d1,D Brevis,D Brevis,1070665,,Right hand Bat,Legbreak
DR Sams,caf69bf7,DR Sams,DR Sams,826901,,Right hand Bat,Left arm Fast medium
GR Sadashiv Iyer,0be62e31,GR Sadashiv Iyer,GR Sadashiv Iyer,29549,340287,Right hand Bat,
HAS Khalid,291ded7c,HAS Khalid,HAS Khalid,30196,,Right hand Bat,Slow Left arm Orthodox
HR Shokeen,0c9652b0,HR Shokeen,HR Shokeen,1175423,,Right hand Bat,Right arm Offbreak
KK Ahmed,a2f46292,KK Ahmed,KK Ahmed,942645,,Right hand Bat,Left arm Medium
M Markande,a9fd84fb,M Markande,M Markande,1081442,,Right hand Bat,Legbreak
PP Shaw,8b3e9c7c,PP Shaw,PP Shaw,1070168,,Right hand Bat,Right arm Offbreak
R Powell,650d5e49,R Powell,R Powell,820351,,Right hand Bat,Right arm Medium fast
RP Meredith,64775749,RP Meredith,RP Meredith,961713,,Right hand Bat,Right arm Fast
Ramandeep Singh,be24ead0,Ramandeep Singh,Ramandeep Singh,1079470,,Right hand Bat,Right arm Medium
TH David,f1f99156,TH David,TH David,892749,,Right hand Bat,Right arm Offbreak
Tilak Varma,b0482a1d,Tilak Varma,Tilak Varma,1170265,,Left hand Bat,Right arm Offbreak
AK Markram,6a26221c,AK Markram,AK Markram,600498,,Right hand Bat,Right arm Offbreak
Abhishek Sharma,f29185a1,Abhishek Sharma,Abhishek Sharma,1070183,1131614,Left hand Bat,Slow Left arm Orthodox
Arshdeep Singh,244048f6,Arshdeep Singh,Arshdeep Singh,1125976,,Left hand Bat,Left arm Medium fast
Fazalhaq Farooqi,e9c7f0d0,Fazalhaq Farooqi,Fazalhaq Farooqi,974175,,Right hand Bat,Left arm Fast medium
Harpreet Brar,c05edf8e,Harpreet Brar,Harpreet Brar,1168641,,Left hand Bat,Slow Left arm Orthodox
JM Bairstow,abb83e27,JM Bairstow,JM Bairstow,297433,,Right hand Bat,Right arm Medium
JM Sharma,800d2d97,JM Sharma,JM Sharma,721867,,Right hand Bat,
K Rabada,e62dd25d,K Rabada,K Rabada,550215,,Left hand Bat,Right arm Fast
LS Livingstone,50c6bc2b,LS Livingstone,LS Livingstone,403902,,Right hand Bat,"Right arm Offbreak, Legbreak"
M Shahrukh Khan,7dcb9bc9,M Shahrukh Khan,M Shahrukh Khan,719719,,Right hand Bat,Right arm Offbreak
N Pooran,3241e3fd,N Pooran,N Pooran,604302,,Left hand Bat,Right arm Offbreak
NT Ellis,9eb1455b,NT Ellis,NT Ellis,826915,,Right hand Bat,Right arm Fast medium
PK Garg,bb965e9a,PK Garg,PK Garg,1070180,,Right hand Bat,Right arm Medium
PN Mankad,663b5e34,PN Mankad,PN Mankad,956871,,Right hand Bat,Right arm Medium
R Shepherd,c5aef772,R Shepherd,R Shepherd,677077,,Right hand Bat,Right arm Fast medium
RA Tripathi,77255a9e,RA Tripathi,RA Tripathi,446763,,Right hand Bat,Right arm Medium
Umran Malik,81c08fa3,Umran Malik,Umran Malik,1246528,,Right hand Bat,Right arm Fast
Washington Sundar,f19ccfad,Washington Sundar,Washington Sundar,719715,,Left hand Bat,Right arm Offbreak
AS Joseph,b0946605,AS Joseph,AS Joseph,670031,,Right hand Bat,Right arm Fast
Avesh Khan,eef2536f,Avesh Khan,Avesh Khan,694211,,Right hand Bat,Right arm Fast medium
E Lewis,0ebfb1ad,E Lewis,E Lewis,431901,,Left hand Bat,
MA Gough,76752ac8,MA Gough,MA Gough,13413,,Right hand Bat,Right arm Offbreak
Mohsin Khan (2),c33d8116,Mohsin Khan,Mohsin Khan (2),1132005,,Left hand Bat,Left arm Medium fast
PVD Chameera,327b58d3,PVD Chameera,PVD Chameera,552152,,Right hand Bat,Right arm Fast
Ravi Bishnoi,df064e1a,Ravi Bishnoi,Ravi Bishnoi,1175441,,Right hand Bat,Legbreak Googly
JR Hazlewood,03806cf8,JR Hazlewood,JR Hazlewood,288284,,Left hand Bat,Right arm Fast medium
MK Lomror,da934ee8,MK Lomror,MK Lomror,853265,,Left hand Bat,Slow Left arm Orthodox
Mohammed Siraj,2f49c897,Mohammed Siraj,Mohammed Siraj,940973,,Right hand Bat,Right arm Fast
PWH de Silva,a97c8ec2,PWH de Silva,PWH de Silva,784379,,Right hand Bat,Legbreak
RM Patidar,c740ea83,RM Patidar,RM Patidar,823703,,Right hand Bat,Right arm Offbreak
Shahbaz Ahmed,f9e6e7ef,Shahbaz Ahmed,Shahbaz Ahmed,1159711,,Left hand Bat,Slow Left arm Orthodox
D Padikkal,2c25d4f5,D Padikkal,D Padikkal,1119026,,Left hand Bat,Right arm Offbreak
LH Ferguson,2f9d0389,LH Ferguson,LH Ferguson,493773,,Right hand Bat,Right arm Fast
M Prasidh Krishna,85e0cf10,M Prasidh Krishna,M Prasidh Krishna,917159,,Right hand Bat,Right arm Fast medium
OC McCoy,529eb9e0,OC McCoy,OC McCoy,906783,,Left hand Bat,Left arm Fast medium
R Parag,04a418e8,R Parag,R Parag,1079434,,Right hand Bat,Legbreak
R Sai Kishore,c7a995d3,R Sai Kishore,R Sai Kishore,1048739,,Left hand Bat,Slow Left arm Orthodox
Rashid Khan,5f547c8b,Rashid Khan,Rashid Khan,793463,,Right hand Bat,Legbreak Googly
SO Hetmyer,48a1d7b7,SO Hetmyer,SO Hetmyer,670025,,Left hand Bat,
Shubman Gill,b4b99816,Shubman Gill,Shubman Gill,1070173,,Right hand Bat,Right arm Offbreak
YBK Jaiswal,6c19c6e5,YBK Jaiswal,YBK Jaiswal,1151278,,Left hand Bat,Legbreak
Yash Dayal,7210d461,Yash Dayal,Yash Dayal,1159720,,Right hand Bat,Left arm Medium fast
AA Noffke,b69e69ed,AA Noffke,AA Noffke,6938,,Right hand Bat,Right arm Fast medium
P Dharmani,eaa90ab4,P Dharmani,P Dharmani,28067,,Right hand Bat,
F Gomes,3134d083,F Gomes,F Gomes,28845,,,
DS Lehmann,53fe6ee4,DS Lehmann,DS Lehmann,6285,,Left hand Bat,Slow Left arm Orthodox
MA Khote,0d232ffd,MA Khote,MA Khote,30220,,Right hand Bat,Right arm Medium
VD Nerurkar,8647d51d,VD Nerurkar,VD Nerurkar,265853,,,
SK Porel,350a07a7,SK Porel,SK Porel,32897,,Right hand Bat,Right arm Fast medium
SB Joshi,670709ec,SB Joshi,SB Joshi,29725,,Left hand Bat,Slow Left arm Orthodox
D Kalyankrishna,94bc776b,D Kalyankrishna,D Kalyankrishna,30719,,Right hand Bat,Right arm Medium fast
UL Dubey,b2ef796b,UL Dubey,UL Dubey,28116,,,
S Chanderpaul,881a9bdd,S Chanderpaul,S Chanderpaul,51469,,Left hand Bat,Legbreak
P Amarnath,6ad3a659,P Amarnath,P Amarnath,290629,,Right hand Bat,Right arm Medium
RR Sarwan,36d33dd0,RR Sarwan,RR Sarwan,52969,,Right hand Bat,Legbreak
